Stakeholder_ID,Organization,Stakeholder_Type,Role,District,Contact
1,Cobb-Fleming,NGO,Implementation,North District,icollier@example.com
2,Roy-Ibarra,Government,Oversight,North District,patriciasimpson@example.org
3,"Williams, Wood and Nielsen",Community,Oversight,North District,richardsonblake@example.com
4,Valdez-Gregory,Corporate,Awareness,East District,jared36@example.net
5,"Hutchinson, Griffin and Solis",Community,Funding,Central District,hernandezdenise@example.net
6,Daniel-Baker,Community,Implementation,East District,christinacortez@example.com
7,Anderson Inc,Corporate,Implementation,Highlands,sharoneverett@example.com
8,Powell-Scott,Community,Oversight,South District,ldunn@example.net
9,"Riggs, Fitzpatrick and Brooks",Corporate,Implementation,Valley,linda43@example.org
10,Wilson-Green,NGO,Implementation,Highlands,elizabethgaines@example.com
11,"Mcmahon, Lee and Rodriguez",NGO,Implementation,Central District,maria19@example.com
12,"Hernandez, Mack and Lowe",NGO,Oversight,South District,jonathancantu@example.com
13,Carey-Macias,NGO,Funding,North District,schultzjerry@example.net
14,Garner Ltd,Corporate,Funding,South District,vhayes@example.org
15,Aguirre-Bailey,Community,Oversight,East District,darin67@example.com
16,Diaz-Thompson,Community,Oversight,North District,elizabeth54@example.net
17,Bright Ltd,NGO,Awareness,South District,yadams@example.com
18,Williamson-Mueller,Community,Funding,West District,james63@example.com
19,Griffith-Sims,Corporate,Oversight,West District,nbooth@example.com
20,Parker LLC,NGO,Implementation,North District,tsavage@example.com
21,Martin Group,Government,Awareness,Highlands,christopher39@example.com
22,"West, Strong and Vega",NGO,Implementation,South District,justin74@example.org
23,"Collins, Gonzalez and Sanders",Corporate,Funding,Highlands,rmaxwell@example.org
24,Meadows and Sons,Corporate,Oversight,Valley,samuelfriedman@example.org
25,"Arroyo, Carson and Roberts",NGO,Oversight,Highlands,robertparrish@example.net
26,Martin-Jones,Corporate,Awareness,Valley,rebeccaschmidt@example.org
27,"Cline, Anderson and Jones",Community,Awareness,Highlands,tmosley@example.com
28,Coleman-Nelson,Government,Implementation,Valley,harrisonjason@example.com
29,Harris-Ball,Corporate,Awareness,South District,lesliejackson@example.org
30,Stuart PLC,Corporate,Implementation,Valley,brian36@example.com
31,Bass Group,Corporate,Implementation,North District,adrienne75@example.com
32,Spencer Group,NGO,Awareness,Central District,jacob32@example.org
33,Gardner LLC,Corporate,Implementation,Central District,madisontrevino@example.net
34,"Moore, Figueroa and Acosta",Corporate,Implementation,Valley,gmills@example.net
35,"Newman, Ford and Randolph",Community,Implementation,Highlands,kelseycarter@example.org
36,"Paul, House and Anthony",NGO,Awareness,Central District,uroman@example.com
37,"Juarez, Hanson and Wright",Community,Oversight,West District,levinecourtney@example.org
38,Lynn-Richardson,Corporate,Oversight,North District,cynthialawson@example.com
39,Burke-Salinas,Community,Funding,Central District,pflynn@example.net
40,Gilbert LLC,Government,Awareness,North District,jaclyn32@example.com
41,Miles LLC,Corporate,Awareness,South District,jamesramirez@example.org
42,Andrews-Barton,Corporate,Funding,North District,campbellphillip@example.com
43,Zuniga-Jones,NGO,Awareness,Valley,wtaylor@example.net
44,Hayes LLC,Community,Oversight,North District,melissa00@example.org
45,Martinez Group,NGO,Awareness,East District,tonyaavery@example.com
46,Hudson and Sons,NGO,Awareness,Valley,williamoconnell@example.org
